parentTconst,seasonNumber,episodeNumber,averageRating,numVotes
tt0046593,1.0,20.0,7.6,321.0
tt0046593,4.0,1.0,7.9,46.0
tt0046593,8.0,2.0,7.2,104.0
tt0046593,10.0,17.0,8.2,740.0
tt0046593,9.0,2.0,7.9,86.0
tt0046593,9.0,1.0,9.0,59.0
tt0046593,9.0,10.0,7.7,65.0
tt0046593,8.0,21.0,6.9,223.0
tt0046593,9.0,6.0,6.3,282.0
tt0046593,10.0,1.0,6.9,151.0
tt0046593,9.0,16.0,7.4,151.0
tt0046593,9.0,15.0,8.4,61.0
tt0046593,10.0,5.0,7.2,45.0
tt0046593,10.0,12.0,8.3,28.0
tt0046593,11.0,7.0,8.0,48.0
tt0046593,12.0,19.0,8.3,54.0
tt0060028,1.0,0.0,7.6,7899.0
tt0046593,13.0,16.0,7.6,74.0
tt0060028,1.0,3.0,7.7,7115.0
tt0046593,14.0,11.0,6.8,43.0
tt0806910,1.0,9.0,7.1,74.0
tt0046593,16.0,2.0,6.0,226.0
tt0065327,1.0,0.0,7.5,2218.0
tt0046593,17.0,2.0,7.0,36.0
tt0806910,1.0,2.0,6.2,101.0
tt0806910,1.0,1.0,6.7,262.0
tt1466074,1.0,3.0,6.9,3824.0
tt1466074,1.0,1.0,7.7,5899.0
tt1466074,1.0,4.0,7.7,4087.0
tt0159876,1.0,18.0,7.6,50.0
tt0806910,1.0,12.0,6.0,54.0
tt0806910,1.0,11.0,6.9,83.0
tt0806910,1.0,10.0,6.1,75.0
tt0806910,1.0,8.0,7.3,166.0
tt0806910,1.0,6.0,6.2,106.0
tt0806910,1.0,5.0,6.9,114.0
tt0806910,1.0,3.0,6.7,129.0
tt0806910,1.0,129.0,5.9,37.0
tt1466074,1.0,7.0,7.6,3521.0
tt1466074,2.0,4.0,7.0,3386.0
tt1466074,1.0,2.0,7.8,4297.0
tt1466074,2.0,1.0,7.7,4150.0
tt1466074,1.0,5.0,7.2,3684.0
tt1466074,1.0,6.0,7.1,3567.0
tt1466074,2.0,2.0,7.3,3342.0
tt1466074,2.0,3.0,7.5,3258.0
tt0068093,1.0,0.0,7.9,1292.0
tt0806910,1.0,22.0,6.2,69.0
tt0806910,1.0,24.0,5.7,44.0
